{Thu 09:27:26 Step:5169} World_Parser.py: Received field line with NaNs [16.48 59.12 17.73   nan   nan   nan]
{Thu 09:31:16 Step:23589} World_Parser.py: Received field line with NaNs [   nan    nan    nan   3.89 -59.9   11.19]
{Thu 09:32:09 Step:27655} World_Parser.py: Received field line with NaNs [   nan    nan    nan   3.31 -59.82   9.95]
{Thu 09:33:14 Step:32727} World_Parser.py: Received field line with NaNs [ 3.81 53.66 13.73   nan   nan   nan]
{Thu 09:33:45 Step:35021} World_Parser.py: Received field line with NaNs [ 3.89 52.94 14.79   nan   nan   nan]
{Thu 09:34:54 Step:40339} World_Parser.py: Received field line with NaNs [ 3.82 52.94 14.83   nan   nan   nan]
{Thu 09:36:25 Step:46885} World_Parser.py: Received field line with NaNs [   nan    nan    nan   3.98 -60.19  12.59]
{Thu 09:38:59 Step:57899} World_Parser.py: Received field line with NaNs [ 3.84 52.96 14.85   nan   nan   nan]
{Thu 09:39:00 Step:57947} World_Parser.py: Received field line with NaNs [ 3.84 53.07 14.51   nan   nan   nan]
{Thu 09:39:56 Step:61837} World_Parser.py: Received field line with NaNs [ 3.8  53.24 15.18   nan   nan   nan]
{Thu 09:40:09 Step:62661} World_Parser.py: Received field line with NaNs [ 3.7  53.28 14.26   nan   nan   nan]
