rollout/episodes_finished,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/reward_std_all,rollout/ep_len_mean_custom,rollout/steps_this_iter,time/iterations,rollout/ep_len_mean_this_rollout,rollout/ep_rew_std_custom,time/fps,rollout/ep_rew_mean_this_rollout,rollout/reward_mean_all,time/total_timesteps,rollout/reward_sum_all,rollout/ep_rew_mean_custom,rollout/ep_len_std_custom,time/time_elapsed,rollout/success_rate,rollout/ep_rew_std_this_rollout,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
31,85.02322630579488,-7402.486282348633,0.6797201711014058,144.7741935483871,5120,1,144.7741935483871,142.3505136067444,805,-238.78988007576234,-1.6660347409546374,5120,-8530.097873687744,-238.78988007576234,85.02322630579488,6,1.0,142.3505136067444,,,,,,,,,,,,
31,83.01172766712519,-7405.615852355957,0.35861852089596846,149.08064516129033,5120,2,153.38709677419354,135.7644649742255,623,-238.89083394696635,-1.5450919410213828,10240,-7910.87073802948,-238.84035701136435,84.13378332369203,16,1.0,128.84217508071418,31.143138885498047,212.44330070972444,0.2,-1.6054835757613182,-0.0022477280654129572,-0.017104506492614746,10,0.0003,0.0052140174,0.0234375,,
35,82.39603715455925,-8126.818799972534,0.3833570835733035,148.50515463917526,5120,3,147.4857142857143,134.30498546361474,612,-232.19482285635812,-1.5619895545765758,15360,-7997.386519432068,-236.44248386265076,83.51444392776446,25,1.0,131.57269241459827,45.84461212158203,189.65252532958985,0.2,-1.5947320507466793,-0.0030600619653705506,0.05332285165786743,20,0.0003,0.008140596,0.032890625,,
33,73.31934502199012,-7688.202228546143,0.4966432101830588,151.26,5120,4,156.03030303030303,124.37289461711634,658,-232.97582510745886,-1.5005441698245705,20480,-7682.7861495018005,-233.1814538002014,79.89713636920912,31,1.0,111.04203550137956,40.908042907714844,185.838609790802,0.2,-1.5719066771864891,-0.0045351722498890015,0.15476739406585693,30,0.0003,0.008827581,0.04169921875,,
35,76.06477368610497,-8354.988750457764,0.35102102406139596,151.19,5120,5,150.5142857142857,121.46577634851326,644,-238.71396429879326,-1.5825838968157768,25600,-8102.829551696777,-234.7096758079529,77.16938447337779,39,1.0,121.20595371110069,71.03480529785156,184.7461577987671,0.2,-1.5748405073583127,-0.0031999092060141267,0.3346467614173889,40,0.0003,0.008049105,0.048515625,,
34,81.22136972283822,-7437.834037303925,0.4514239853717471,149.99,5120,6,146.97058823529412,119.55496180930284,634,-218.759824626586,-1.474299422837794,30720,-7548.413044929504,-229.45362754344941,77.39476661893877,48,1.0,122.13259030906009,34.363765716552734,189.31261910915376,0.2,-1.5628779417276382,-0.0038954181270673873,0.4852001667022705,50,0.0003,0.009302058,0.05515625,,
30,78.48609218623811,-7187.344549655914,0.4458043205806585,153.05,5120,7,161.0,122.36195733821211,630,-239.57815165519713,-1.4818383405916393,35840,-7587.012303829193,-233.86116037368774,78.62714226016357,56,1.0,120.65581746398296,151.17971801757812,197.9055425453186,0.2,-1.5421055243909358,-0.0036700202818610705,0.5944095849990845,60,0.0003,0.007022402,0.04474609375,,
33,74.38411957655386,-7993.604110717773,0.4014894577613745,158.55,5120,8,164.1818181818182,117.43836538243542,651,-242.23042759750828,-1.4943963538855314,40960,-7651.309331893921,-235.03776197433473,77.69843949526916,62,1.0,111.63180504521554,50.86885070800781,165.03269186496735,0.2,-1.493887652605772,-0.004685669698228594,0.7303636074066162,70,0.0003,0.008729126,0.04421875,,
35,76.8538820338535,-7864.670448303223,0.37958731027922615,157.01,5120,9,149.22857142857143,116.88878743711258,646,-224.70486995152064,-1.5219211658462881,46080,-7792.236369132996,-232.7560675096512,77.7169859168509,71,1.0,115.33589292827115,102.64266967773438,197.09643737792967,0.2,-1.4423946359753608,-0.005181627407146152,0.7126851677894592,80,0.0003,0.007918626,0.03548828125,,
27,62.93934197444062,-6530.372480392456,0.4365450601495742,157.31,5120,10,163.5185185185185,112.34488182800123,642,-241.8656474219428,-1.4870534216985107,51200,-7613.7135190963745,-235.81021825790404,73.14693363361174,79,1.0,99.93718728597348,66.76240539550781,195.77974224090576,0.2,-1.4660965631902219,-0.0038124671450350434,0.735670804977417,90,0.0003,0.008621538,0.087109375,,
37,83.17795790225256,-8767.896901130676,0.4300480651477891,156.57,5120,11,157.54054054054055,117.39030384609903,639,-236.9701865170453,-1.5035522304475308,56320,-7698.187419891357,-235.43423380851746,75.76374528757141,88,1.0,129.08534459747875,42.1599235534668,174.130550365448,0.2,-1.4395632047951221,-0.0027788105454237665,0.7731334567070007,100,0.0003,0.004887809,0.03533203125,,
35,83.52289188831858,-7651.018096923828,0.405514539432081,152.89,5120,12,143.42857142857142,122.43037858276018,653,-218.60051705496653,-1.5088675918057561,61440,-7725.402070045471,-229.93622519493104,79.40061649634717,94,1.0,127.40358808997081,84.911865234375,227.1519069337845,0.2,-1.4193627351522446,-0.0042468891487806104,0.7648429274559021,110,0.0003,0.008857967,0.056328125,,
30,80.21574381351553,-6463.0620975494385,0.44456240791830265,149.08,5120,13,150.63333333333333,125.34982408729785,648,-215.43540325164795,-1.4300032518804073,66560,-7321.616649627686,-221.95967848777772,82.7000217654143,102,1.0,117.27069065144528,37.802101135253906,216.33043962955475,0.2,-1.3854625061154366,-0.002645588309096638,0.7737151384353638,120,0.0003,0.0063709496,0.02177734375,,
39,83.08794640383668,-8553.948106527328,0.44823460351318584,147.66,5120,14,148.66666666666666,123.31205721899111,645,-219.33200273146997,-1.472649795934558,71680,-7539.9669551849365,-217.76428722143174,82.80244199297506,110,1.0,122.77497537726592,124.8832015991211,185.93760580539703,0.2,-1.3019537311792373,-0.00413556610699743,0.8122463226318359,130,0.0003,0.0058514997,0.04943359375,,
30,81.93694052271064,-7547.932520389557,0.36187284286076493,154.89,5120,15,164.73333333333332,122.88496206547934,643,-251.5977506796519,-1.5331520926207305,76800,-7849.73871421814,-228.68637640237807,82.1151502464679,119,1.0,126.43447911425996,56.191162109375,246.2168878555298,0.2,-1.3050132854282857,-0.0035951738126459533,0.7865122556686401,140,0.0003,0.007030204,0.0410546875,,
32,75.26180866648103,-7534.512409210205,0.42942514388873343,156.02,5120,16,158.1875,121.31990097310201,656,-235.4535127878189,-1.4936445301398635,81920,-7647.459994316101,-232.94790924310684,80.90191345079546,124,1.0,111.5722076267055,58.996402740478516,171.37995633602142,0.2,-1.2837011018395423,-0.0018796637700870633,0.8362314701080322,150,0.0003,0.003527683,0.0192578125,,
30,74.06847432537604,-7346.87845993042,0.4135938374667087,160.32,5120,17,167.83333333333334,117.56369048387928,656,-244.89594866434734,-1.465654389746487,87040,-7504.150475502014,-238.534545879364,78.32048008024465,132,1.0,108.3971087685919,125.94120788574219,202.41303486824035,0.2,-1.2273922918736935,-0.002306030109175481,0.8205451369285583,160,0.0003,0.006006595,0.03263671875,,
