rollout/episodes_finished,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/reward_std_all,rollout/ep_len_mean_custom,rollout/steps_this_iter,time/iterations,rollout/ep_len_mean_this_rollout,rollout/ep_rew_std_custom,time/fps,rollout/ep_rew_mean_this_rollout,rollout/reward_mean_all,time/total_timesteps,rollout/reward_sum_all,rollout/ep_rew_mean_custom,rollout/ep_len_std_custom,time/time_elapsed,rollout/success_rate,rollout/ep_rew_std_this_rollout,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction
189,32.15242351165021,-7834.755014896393,0.773176642923731,25.63,5120,1,25.93121693121693,51.42571016269904,825,-41.45373023754705,-1.6089481011033058,5120,-8237.814277648926,-40.39251200079918,32.462179532495966,6,0.10582010582010581,51.838782702102385,,,,,,,,,,
177,33.504884608132826,-7805.496719717979,0.48541474849948935,27.75,5120,2,27.480225988700564,54.28565730502,713,-44.09885152383039,-1.5934871167875826,10240,-8158.654037952423,-44.229820629358294,34.060938037582,14,0.0903954802259887,53.91594332852448,137.43917846679688,236.4327986764908,0.2,-1.3489138822257518,-0.0048023161140736195,0.5842519402503967,210,0.0003,0.0068054595,0.05580078125
198,32.846250327790194,-8251.897814631462,0.48102558821513014,25.22,5120,3,26.51010101010101,52.31355286601573,673,-41.67625158904779,-1.5765423195436596,15360,-8071.896676063538,-40.2838436961174,32.52094094579675,22,0.08080808080808081,51.986748394147405,12.264703750610352,147.54748197555543,0.2,-1.370689368247986,-0.0019881829776568338,0.7417577505111694,220,0.0003,0.0070912987,0.0294140625
182,33.234386613392,-8225.48415529728,0.5054431627515352,28.29,5120,4,28.483516483516482,53.781659480520105,657,-45.19496788624879,-1.5886073808185757,20480,-8133.669789791107,-44.90626925706864,33.74797623562041,31,0.1043956043956044,53.01549227937613,73.29685974121094,104.19299131631851,0.2,-1.3382463993132114,-0.005505536473065149,0.806828498840332,230,0.0003,0.011640189,0.1421875
179,33.28248287841865,-8177.416338920593,0.5244243627786378,29.74,5120,5,29.11731843575419,52.85234693205194,653,-45.68389016156756,-1.575576358102262,25600,-8066.9509534835815,-47.341701459884646,32.86841036618595,39,0.1340782122905028,52.516495213613915,74.0772705078125,98.86805907487869,0.2,-1.3487122324109078,-0.003186590082332259,0.8104128837585449,240,0.0003,0.0052966694,0.04748046875
171,33.13320450016951,-7948.37890625,0.4919585590373476,27.85,5120,6,28.818713450292396,53.84160412103386,645,-46.481747989766085,-1.6084390796720982,30720,-8235.208087921143,-45.22763592243194,32.955234789028594,47,0.1111111111111111,53.762044860646895,64.53082275390625,104.44237409830093,0.2,-1.3536623418331146,-0.0035554509541543666,0.7995644211769104,250,0.0003,0.0048907464,0.06025390625
200,32.667016622275135,-8093.222823381424,0.43620339549729764,25.05,5120,7,25.145,53.147057331329336,642,-40.46611411690712,-1.608074765279889,35840,-8233.342798233032,-40.62407439470291,32.787916981717515,55,0.035,52.68560391665962,21.483928680419922,90.13745480298996,0.2,-1.3685996109247207,-0.004200851766509004,0.8316321969032288,260,0.0003,0.007874839,0.04603515625
200,33.28738499792376,-8398.996912956238,0.4515465202414208,27.11,5120,8,26.3,54.25631304744611,590,-41.99498456478119,-1.6025201508775353,40960,-8204.903172492981,-43.528008341789246,33.73037058794344,69,0.07,53.35687404527766,68.68778228759766,68.18910253286361,0.2,-1.3670383103191852,-0.002943651765817776,0.8716190457344055,270,0.0003,0.0071948185,0.07591796875
187,32.902789460636065,-8157.102409362793,0.49739532867987535,25.92,5120,9,27.641711229946523,51.75563881659753,587,-43.62086849926627,-1.5673171935603023,46080,-8024.664031028748,-41.750819375514986,32.31584131660508,78,0.10160427807486631,51.91539640690283,6.086009502410889,83.06422363400459,0.2,-1.3607760062813758,-0.0041278489961405285,0.8493536710739136,280,0.0003,0.008656358,0.07294921875
185,33.25857699533408,-8042.372458457947,0.43568102846241546,26.84,5120,10,27.405405405405407,53.203657911044225,634,-43.472283559232146,-1.5984465906396508,51200,-8184.046544075012,-43.24480935931206,33.11396080205447,80,0.0918918918918919,52.92664519649109,21.88820457458496,91.66320199251174,0.2,-1.3578872777521611,-0.004499037748173578,0.8186870813369751,290,0.0003,0.0054685017,0.04068359375
186,32.595938867633556,-8021.851516485214,0.5231112276246455,26.93,5120,11,27.241935483870968,51.49409896833169,632,-43.12823395959793,-1.573718593083322,56320,-8057.439196586609,-42.290763906240464,32.616638392084496,89,0.12365591397849462,52.00245798352353,53.81708526611328,78.61113269805908,0.2,-1.3329945077002048,-0.003551892364339437,0.8527573347091675,300,0.0003,0.007953628,0.06708984375
194,33.098027653984296,-8294.292100310326,0.4288847481867163,27.31,5120,12,26.587628865979383,53.61250389281695,625,-42.75408299129034,-1.604979982599616,61440,-8217.497510910034,-44.01536695480347,33.186049779990384,98,0.061855670103092786,53.368681482045375,10.540583610534668,91.60831931948661,0.2,-1.2941429807245732,-0.004074749099090696,0.8301092386245728,310,0.0003,0.008017858,0.06921875
185,34.53672270910713,-8423.59044957161,0.4384489319271816,27.17,5120,13,28.627027027027026,54.02495779134529,626,-45.532921349035725,-1.5992810828611255,66560,-8188.319144248962,-42.918560695648196,34.14002196835848,106,0.08108108108108109,55.00972393328034,40.03641128540039,76.1579119694233,0.2,-1.2799248445034026,-0.003780828904709779,0.8551976084709167,320,0.0003,0.0059657632,0.0480078125
169,34.04476629132322,-7712.751096606255,0.44076668524899265,27.99,5120,14,28.71005917159763,55.488664256093884,628,-45.63758045329145,-1.5841743811964988,71680,-8110.972831726074,-44.942991963624955,34.72794120013452,114,0.08875739644970414,54.03833050167079,56.63240432739258,80.28700835049152,0.2,-1.2029286992549897,-0.0011704568593995646,0.8447351455688477,330,0.0003,0.0035397348,0.0318359375
193,33.21348199428756,-8027.29043507576,0.48634341635795797,25.65,5120,15,26.901554404145077,50.58992960394736,627,-41.59217842008166,-1.5415752631612123,76800,-7892.8653473854065,-39.71383705496788,32.51565007807778,122,0.09844559585492228,51.47465121217013,54.308773040771484,93.86132027387619,0.2,-1.1422518467903138,-0.004937776399674476,0.8141899704933167,340,0.0003,0.00831487,0.0817578125
194,32.57661978890813,-8320.17893087864,0.4992912814937454,27.05,5120,16,27.030927835051546,52.25874141983766,625,-42.88752026226103,-1.5896852057427169,81920,-8139.18825340271,-43.43086394429207,31.993241473786306,130,0.0979381443298969,52.18034896537434,10.925686836242676,78.87579902529717,0.2,-1.1108877569437028,-0.003103894014202524,0.8446672558784485,350,0.0003,0.006053523,0.0418359375
186,32.82143886770879,-7939.123208522797,0.49246701224745393,27.68,5120,17,27.311827956989248,51.65009173289442,625,-42.68345811033762,-1.560989423468709,87040,-7992.26584815979,-42.79504749059677,33.1131031466397,139,0.0967741935483871,51.75736548511363,10.763976097106934,72.33905599117278,0.2,-1.072038743942976,-0.0038486283106612972,0.8648300766944885,360,0.0003,0.0067846077,0.07923828125
170,32.621142866823604,-7933.46528339386,0.5259681807210437,31.44,5120,18,29.75294117647059,52.07532571026811,624,-46.66744284349329,-1.5732002266682685,92160,-8054.785160541534,-49.032197194099425,32.96553351608313,147,0.14705882352941177,51.918271362506424,8.982553482055664,78.84031249761581,0.2,-1.0828159357607365,-0.003899557518889196,0.8464196920394897,370,0.0003,0.007562475,0.077421875
184,32.97190788525245,-7923.38139128685,0.5030331887654826,27.74,5120,19,27.744565217391305,52.209064928275836,624,-43.06185538742853,-1.5412367613986135,97280,-7891.132218360901,-43.22367990851402,33.32405137434523,155,0.125,51.58418144259876,72.69076538085938,89.81172944068909,0.2,-1.0340576069056988,-0.0034090219967765735,0.8292220234870911,380,0.0003,0.0043830588,0.040703125
