rollout/success_rate,rollout/ep_rew_mean_this_rollout,rollout/steps_this_iter,rollout/ep_len_mean_custom,rollout/reward_mean_all,rollout/ep_rew_std_custom,rollout/reward_sum_all,rollout/reward_std_all,rollout/ep_len_std_custom,time/iterations,rollout/reward_sum_finished_eps,time/time_elapsed,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,rollout/ep_len_mean_this_rollout,rollout/ep_rew_mean_custom,time/total_timesteps,time/fps,rollout/ep_len_std_this_rollout,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
1.0,-229.53870674659467,5120,145.55172413793105,-1.5967548138462007,120.81834486503645,-8175.384646892548,0.7380929531774969,78.6395470427972,1,-6656.622495651245,5,29,120.81834486503645,145.55172413793105,-229.53870674659467,5120,901,78.6395470427972,,,,,,,,,,,,
1.0,-241.48232826109856,5120,153.05,-1.5314433380961419,117.71646079137875,-7840.989891052246,0.40441431878704026,78.01739656427063,2,-7485.952176094055,14,31,114.43795802309549,160.06451612903226,-235.70957786242167,10240,691,76.77068303169489,21.220531463623047,0.011158764362335205,-0.006094232479808852,0.0003,193.82712049007415,0.2,0.008793605,0.08177734375,-1.6023044922947884,10,,
1.0,-241.19581238643542,5120,151.50515463917526,-1.5901013320311903,122.38370987033095,-8141.318819999695,0.42503443479519404,78.13853989375963,3,-8924.245058298111,22,37,129.52357188500486,149.0,-237.8022652581795,15360,687,78.26980364203146,45.257354736328125,0.15730255842208862,-0.002888539575214963,0.0003,187.28986166954041,0.2,0.006317864,0.021015625,-1.5953288954496383,20,,
1.0,-243.1463519009677,5120,153.73,-1.5962055064737797,121.41523570667819,-8172.572193145752,0.41455609877666133,76.05614439346765,4,-8023.829612731934,30,33,116.99115870298868,153.27272727272728,-241.27006095170975,20480,674,71.14657202384245,62.446502685546875,0.19961339235305786,-0.004209093596000457,0.0003,195.38173902988433,0.2,0.009977763,0.07701171875,-1.556717186421156,30,,
1.0,-252.6581074944858,5120,154.71,-1.4767101708799601,122.26471019279417,-7560.7560749053955,0.3799709736332006,75.94607231450485,5,-7327.085117340088,37,29,117.6176194515692,166.89655172413794,-243.8203529191017,25600,676,76.23029754612966,67.3846206665039,0.30329859256744385,-0.004163271381694358,0.0003,200.61399116516114,0.2,0.0077214018,0.0526953125,-1.552443034350872,40,,
1.0,-222.23288881778717,5120,157.91,-1.461137466225773,116.81537562719782,-7481.023827075958,0.4435349706406876,74.09913562248887,6,-7111.452442169189,46,32,110.53952797577733,154.78125,-240.84177734375,30720,667,75.35322420731245,35.94942855834961,0.6205066442489624,-0.0023968943851650692,0.0003,154.67159560203552,0.2,0.0062243505,0.01859375,-1.5370328022539617,50,,
1.0,-230.69527560642788,5120,159.1,-1.4902365087531506,114.41878661757485,-7630.010924816132,0.4181373619773452,75.44063891564018,7,-8074.334646224976,53,35,109.25609712975354,155.62857142857143,-236.38377988815307,35840,668,74.45423741727367,108.50944519042969,0.6423331499099731,-0.003231829146388918,0.0003,188.04932764530182,0.2,0.008218149,0.04662109375,-1.5436434063315392,60,,
1.0,-261.3396272500356,5120,161.38,-1.5480182144790888,116.55394533480616,-7925.853258132935,0.37722851095699644,77.41185697294698,8,-7840.188817501068,61,30,131.18904076938193,169.6,-238.70482741832734,40960,666,83.30170066291164,113.5837173461914,0.684669017791748,-0.003510701902850997,0.0003,195.56153399944304,0.2,0.0063517457,0.06640625,-1.5627782747149468,70,,
1.0,-263.46184855494005,5120,166.5,-1.4923765001818539,119.29841546065374,-7640.967680931091,0.38004164616450864,78.09154883852669,9,-7640.393608093262,69,29,118.8064604839105,173.9655172413793,-251.08616946697236,46080,666,78.31610692598814,69.7598876953125,0.7264910340309143,-0.0031741221627453343,0.0003,183.51400790214538,0.2,0.0057225362,0.03712890625,-1.5571847113966941,80,,
1.0,-231.16870475537849,5120,159.26,-1.5018133234232665,126.12820909720003,-7689.284215927124,0.39328680456307197,82.4068710727449,10,-7628.56725692749,76,33,119.60700091145073,152.72727272727272,-242.7895054578781,51200,667,78.65431569475682,41.60745620727539,0.8006588816642761,-0.0043418482912238685,0.0003,151.50510542869569,0.2,0.007666544,0.0286328125,-1.5579194523394109,90,,
