time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/success_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,eval/mean_ep_length,eval/mean_reward
3,1,5120,1402,0.18181818181818182,,,,,,,,,,,,
12,2,10240,843,0.18181818181818182,-0.005719754086458124,-0.05041539669036865,10,-1.6030945943295956,19.586668014526367,0.2,237.54537644386292,0.0487109375,0.0003,0.0089928415,,
19,3,15360,795,0.3333333333333333,-0.0033047061433899216,0.01770240068435669,20,-1.5952311989665031,52.51689910888672,0.2,238.70200048446657,0.02376953125,0.0003,0.0093035605,,
26,4,20480,774,0.3,-0.004215962042508181,0.0189092755317688,30,-1.5845542040467262,41.541587829589844,0.2,187.03925331115724,0.032421875,0.0003,0.0075581684,,
32,5,25600,783,0.2727272727272727,-0.002411737918446306,0.4248085021972656,40,-1.5826155629754066,13.707948684692383,0.2,120.78591342687606,0.03814453125,0.0003,0.007448919,,
40,6,30720,762,0.18181818181818182,-0.0025661305808171164,0.5249758958816528,50,-1.586164488941431,28.60396957397461,0.2,132.6018073272705,0.0250390625,0.0003,0.010329972,,
47,7,35840,748,0.5833333333333334,-0.0023024906174396163,0.7732741832733154,60,-1.5783082707226277,64.829833984375,0.2,133.01186292886734,0.0243359375,0.0003,0.0070883473,,
55,8,40960,738,0.38461538461538464,-0.004697455526911654,0.8232309222221375,70,-1.560523044615984,40.496341705322266,0.2,111.65042419433594,0.071015625,0.0003,0.0098342,,
63,9,46080,726,0.46153846153846156,-0.0038801215225248596,0.8272595405578613,80,-1.5374120926856996,32.1861457824707,0.2,107.4332366514206,0.0529296875,0.0003,0.009595975,,
70,10,51200,731,0.75,-0.0021017699618823826,0.8770049810409546,90,-1.5310376209020615,67.03350830078125,0.2,111.86577956199646,0.02587890625,0.0003,0.004922844,,
78,11,56320,717,0.8888888888888888,-0.006121948861691635,0.8961699604988098,100,-1.4965362322330475,20.77765655517578,0.2,87.47111047744751,0.06611328125,0.0003,0.01066564,,
87,12,61440,705,1.0,-0.004224331132718362,0.9114842414855957,110,-1.4855851559340953,25.62750244140625,0.2,99.83583716154098,0.05173828125,0.0003,0.0073203295,,
93,13,66560,709,0.8947368421052632,-0.002822179096110631,0.9043195247650146,120,-1.4787473402917386,20.69598960876465,0.2,107.25993202209473,0.0471875,0.0003,0.0071401284,,
102,14,71680,697,1.0,-0.007201565551949898,0.9181941747665405,130,-1.4722822576761245,27.39718246459961,0.2,107.52873713731766,0.10177734375,0.0003,0.010743751,,
111,15,76800,690,0.9583333333333334,-0.0024048031697748227,0.9178686738014221,140,-1.448081651777029,26.74976921081543,0.2,114.23479484081268,0.03208984375,0.0003,0.0058046337,,
120,16,81920,678,1.0,-0.003421045220165979,0.9106354713439941,150,-1.454887851625681,18.863943099975586,0.2,113.73817371606827,0.02845703125,0.0003,0.0058790846,,
129,17,87040,673,1.0,-0.004502352844865527,0.8732197284698486,160,-1.430149993300438,83.8318862915039,0.2,172.6421659564972,0.07900390625,0.0003,0.0063604238,,
138,18,92160,663,1.0,-0.002663610576710198,0.8769381046295166,170,-1.3673594212532043,123.14038848876953,0.2,151.6681704425812,0.03443359375,0.0003,0.0054106,,
147,19,97280,658,1.0,-0.005523742338409647,0.8916699290275574,180,-1.3354853901267052,215.89857482910156,0.2,157.8850447511673,0.08103515625,0.0003,0.009842502,,
,,102400,,,-0.0054819071115343836,0.8655514717102051,190,-1.3019824907183648,44.916202545166016,0.2,170.88411887168886,0.07900390625,0.0003,0.010688638,149.4,-208.87270025014877
157,20,102400,649,1.0,,,,,,,,,,,,
166,21,107520,645,1.0,-0.004201916152960621,0.8648610711097717,200,-1.2672582368552685,71.07523345947266,0.2,192.6543020582199,0.06466796875,0.0003,0.007135831,,
