rollout/episodes_finished,rollout/ep_rew_mean_this_rollout,rollout/ep_len_mean_this_rollout,time/total_timesteps,time/iterations,rollout/success_rate,rollout/ep_len_mean_custom,time/time_elapsed,rollout/ep_rew_mean_custom,time/fps,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss
10,-821.2479797363281,500.0,5120,1,0.0,500.0,5,-821.2479797363281,1015,,,,,,,,,,
10,-685.9218795776367,461.6,10240,2,0.1,480.8,12,-753.5849296569825,841,0.2,-0.003103472055809107,-0.026567935943603516,-1.605653332322836,253.06854449510575,0.0069299876,0.0003,10,0.01791015625,18.254806518554688
11,-531.7297793301669,397.54545454545456,15360,3,0.2727272727272727,451.258064516129,19,-674.8621343797253,793,0.2,-0.0028400274060550144,0.01868230104446411,-1.6021919246017933,193.85458058357239,0.00639766,0.0003,20,0.03009765625,27.45114517211914
11,-576.4732693758878,431.27272727272725,20480,4,0.2727272727272727,446.0238095238095,26,-649.0936221168155,765,0.2,-0.004172571955132298,0.005069553852081299,-1.591776105463505,119.56960636138916,0.009743812,0.0003,30,0.0467578125,38.65510559082031
11,-566.9152110706676,429.6363636363636,25600,5,0.36363636363636365,442.62264150943395,34,-632.0377254845961,748,0.2,-0.0027084687264868988,0.15996712446212769,-1.5857463155686855,99.49151373386383,0.0066341506,0.0003,40,0.02978515625,31.439882278442383
14,-571.2478975568499,400.7142857142857,30720,6,0.35714285714285715,433.86567164179104,40,-619.3353733802909,762,0.2,-0.002897068657912314,0.493361234664917,-1.5778726747632026,106.10387427568436,0.005660723,0.0003,50,0.03126953125,34.641334533691406
13,-515.9499635329613,393.7692307692308,35840,7,0.3076923076923077,427.35,47,-602.5352442800998,750,0.2,-0.0028837031297734936,0.5786920785903931,-1.5863165695965291,130.4087958264351,0.007837085,0.0003,60,0.016796875,59.61343765258789
11,-694.2546241066673,461.54545454545456,40960,8,0.09090909090909091,431.4835164835165,55,-613.6222022811135,742,0.2,-0.002961715349520091,0.7578383684158325,-1.5776612021028995,117.62571625947952,0.00906165,0.0003,70,0.0436328125,16.755489349365234
13,-542.5218676053561,383.0769230769231,46080,9,0.38461538461538464,422.45,62,-595.2367665910721,735,0.2,-0.0031936107791261745,0.705863893032074,-1.5501956883072854,137.14697741866112,0.009774819,0.0003,80,0.04322265625,11.387295722961426
13,-514.9524700458234,403.38461538461536,51200,10,0.6153846153846154,413.73,70,-569.6290894365311,728,0.2,-0.004985579759813845,0.8141422271728516,-1.5303639149665833,140.3575969862938,0.009477219,0.0003,90,0.0409765625,15.535618782043457
10,-481.30479125976564,427.0,56320,11,0.4,417.7,76,-559.5164418840409,737,0.2,-0.0050725011352915315,0.9076874852180481,-1.4993230345845223,91.86025520801545,0.008983702,0.0003,100,0.052734375,29.780677795410156
16,-438.02302169799805,365.9375,61440,12,0.6875,403.81,84,-534.9297460222244,730,0.2,-0.003765928211796563,0.9347535967826843,-1.5239596654474736,55.879422582387924,0.010850547,0.0003,110,0.071796875,29.87555694580078
16,-408.2678323686123,322.0625,66560,13,0.875,386.07,92,-503.6439354133606,722,0.2,-0.0036949811261729336,0.9306026697158813,-1.4916712357103825,77.09755288362503,0.008985323,0.0003,120,0.05416015625,98.48429107666016
