rollout/steps_this_iter,time/time_elapsed,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,time/fps,rollout/ep_rew_mean_this_rollout,rollout/ep_rew_mean_custom,rollout/ep_len_mean_custom,time/iterations,time/total_timesteps,rollout/reward_sum_finished_eps,rollout/success_rate,rollout/episodes_finished,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
5120,6,458.3,-8371.02367401123,742,-751.4704803466797,-751.4704803466797,458.3,1,5120,-7514.704803466797,0.1,10,,,,,,,,,,,,
5120,17,500.0,-8557.595759391785,580,-822.1858154296875,-786.8281478881836,479.15,2,10240,-8221.858154296875,0.0,10,248.4227533149719,0.007170628,0.032554447650909424,0.0003,10,-0.0035895226238062605,0.2,19.622419357299805,-1.6053922586143017,0.04279296875,,
5120,27,427.6363636363636,-7209.409692764282,562,-617.2942581176758,-726.6709611954227,460.8709677419355,3,15360,-6790.236839294434,0.18181818181818182,11,257.2948170375824,0.010905784,0.05357944965362549,0.0003,20,-0.0035021365707507356,0.2,34.29256820678711,-1.6032076175510883,0.03796875,,
5120,35,425.3636363636364,-7170.7800579071045,583,-581.7188637473366,-688.707316625686,451.57142857142856,4,20480,-6398.907501220703,0.2727272727272727,11,122.55023684263229,0.0061198315,0.012909471988677979,0.0003,30,-0.0019986140467517545,0.2,24.83025550842285,-1.5960630299150944,0.0371875,,
5120,46,422.0,-6592.126244544983,549,-564.4816543579102,-664.8177661895752,445.88461538461536,5,25600,-5644.816543579102,0.3,10,123.11429823160171,0.003577308,0.22654283046722412,0.0003,40,-0.001134265260770917,0.2,25.2542781829834,-1.5953312294185162,0.00517578125,,
5120,56,460.3,-7115.782183647156,542,-621.3160751342773,-657.8013644064627,448.2096774193548,6,30720,-6213.160751342773,0.1,10,96.86665755987167,0.003022293,0.5800055265426636,0.0003,50,-0.0017829461094515863,0.2,10.293107986450195,-1.5948120270669461,0.008125,,
5120,63,443.4166666666667,-6673.663356304169,561,-598.1257553100586,-648.1242386070458,447.43243243243245,7,35840,-7177.509063720703,0.25,12,97.97401207208634,0.009916349,0.71803879737854,0.0003,60,-0.006097868215365451,0.2,46.979373931884766,-1.5680227576196193,0.08421875,,
5120,73,351.7857142857143,-6226.631853103638,555,-447.7102835518973,-616.2402003028176,432.21590909090907,8,40960,-6267.9439697265625,0.5,14,89.01184812784194,0.009956795,0.787516713142395,0.0003,70,-0.005865059067436959,0.2,14.528141975402832,-1.5162543118000031,0.12705078125,,
5120,84,293.04545454545456,-6042.201106071472,548,-348.8740858598189,-543.8966271209716,398.99,9,46080,-7675.229888916016,0.7727272727272727,22,86.38774010658264,0.0115087,0.827240526676178,0.0003,80,-0.0062252038723090665,0.2,20.154006958007812,-1.4978297245502472,0.1226171875,,
5120,92,278.6666666666667,-5965.11541891098,554,-315.27795749240454,-471.6267050170898,367.11,10,51200,-5675.003234863281,0.8888888888888888,18,113.36089751720428,0.011591678,0.8521354794502258,0.0003,90,-0.006477673189074266,0.2,75.29188537597656,-1.520429051965475,0.0676171875,,
