iteration,episode_len_mean,episode_return_mean,episode_return_sum,success_mean,num_episodes,num_env_steps_sampled,num_env_steps_sampled_lifetime,cm_episode_return_mean,cm_episode_return_std,cm_episode_len_std,cm_episode_len_mean_custom
1,1235.5,-1711.86973121427,-13694.956970214844,0.37499999999999994,8.0,9884.0,9884.0,-1711.8696212768555,821.7314616645295,461.0010845974226,1235.5
2,1009.5769230769231,-1284.9089045844112,-8144.469187498093,0.625,8.0,6947.0,16831.0,-1018.0586484372616,917.3958360131294,595.8919653552982,868.375
3,749.2211538461538,-860.6024257532395,-6097.541038513184,0.7499999999999999,8.0,5398.0,22229.0,-762.192629814148,761.6171918320252,579.5913970203492,674.75
1,1500.0,-1961.8260526061058,-15694.61083984375,0.0,8.0,12000.0,12000.0,-1961.8263549804688,419.6446929758986,0.0,1500.0
2,1352.6153846153845,-1902.796174407923,-14927.222473144531,0.25,8.0,10084.0,22084.0,-1865.9028091430664,896.4168472969811,474.8070660805292,1260.5
3,1304.2692307692307,-2206.51604844561,-19355.20181274414,0.125,8.0,10653.0,32737.0,-2419.4002265930176,980.2595239009818,445.4783770005004,1331.625
4,1134.548076923077,-1729.9976430768575,-10392.972282409668,0.5,8.0,8091.0,40828.0,-1299.1215353012085,853.7789758268627,598.1774271693977,1011.375
5,977.5288461538462,-1282.9494758798237,-10182.732503533363,0.5,8.0,7651.0,48479.0,-1272.8415629416704,1028.0204462760091,655.4923602720324,956.375
6,915.5288461538462,-1292.0785229624464,-10432.810073852539,0.625,8.0,7120.0,55599.0,-1304.1012592315674,1263.8198001859223,623.4893744082573,890.0
7,660.5,-871.2098375316709,-13939.364571809769,0.625,16.0,10568.0,66167.0,-871.2102857381105,973.4809321651343,674.1269353764171,660.5
8,1074.0673076923076,-1240.7167959133592,-10071.18603515625,0.25,8.0,9566.0,75733.0,-1258.8982543945312,598.3709309575197,527.0713305616233,1195.75
9,842.0576923076923,-869.5568054088036,-5009.74543762207,0.7499999999999999,8.0,4968.0,80701.0,-626.2181797027588,458.8680346793506,531.0273062658831,621.0
10,490.0,-514.6563500143586,-8234.501667141914,0.875,16.0,7840.0,88541.0,-514.6563541963696,521.8912922531096,500.76628780300297,490.0
11,338.25,-306.862998200953,-4909.808135986328,1.0,16.0,5412.0,93953.0,-306.8630084991455,149.30579646936903,170.00202204679803,338.25
12,234.5,-211.01476830281314,-5064.35435295105,1.0,24.0,5628.0,99581.00000000001,-211.01476470629373,141.04522282878898,205.22304938773325,234.5
13,191.25,-159.33790158517655,-3824.1092529296875,1.0,24.0,4590.0,104171.0,-159.33788553873697,80.75317352632483,131.79569100189377,191.25
14,159.8125,-146.39119249526408,-4684.517954826355,1.0,32.0,5114.0,109285.0,-146.3911860883236,121.12830202489275,104.97095952571836,159.8125
15,172.09375,-153.0711810275912,-4898.277695775032,1.0,32.0,5507.0,114792.0,-153.07117799296975,78.30644596942686,80.33576389714297,172.09375
16,176.4375,-165.70128970118236,-5302.441204428673,1.0,32.0,5646.0,120438.0,-165.70128763839602,134.5975974163528,113.2132770206304,176.4375
17,218.79166666666663,-165.71114216347536,-3977.067497611046,1.0,24.0,5251.0,125689.00000000001,-165.7111457337936,79.57230763451948,142.6005432337323,218.79166666666666
18,171.08333333333334,-155.39356903148195,-3729.445642709732,1.0,24.0,4106.0,129795.00000000001,-155.39356844623885,66.35085765172742,80.02807667035083,171.08333333333334
19,145.4375,-128.09642714206126,-4099.085789442062,1.0,32.0,4654.0,134449.0,-128.09643092006445,50.86940922801906,47.668082547444676,145.4375
